caps_top22,caps_top11,goal_rate_top4_fw,fw_goals_top4_total,age_top22_avg,age_top22_std,top5_league_pct,big_club_pct,chemistry_max_cluster,chemistry_top3_sum,unique_clubs,gk_avg_caps,squad_size,team,n_injured_out,availability_pct
63.54545454545455,102.81818181818181,0.30628803245436104,151,29.90909090909091,4.395983999592733,0.0,0.0,6,15,8,21.666666666666668,26,Qatar,0,1.0
67.9090909090909,94.36363636363636,0.24489795918367346,36,30.454545454545453,3.8263158051437207,0.0,0.0,2,6,23,36.333333333333336,26,Panama,0,1.0
52.0,87.36363636363636,0.2586750788643533,82,28.59090909090909,4.727418412673544,0.6153846153846154,0.34615384615384615,2,5,24,26.333333333333332,26,Croatia,0,1.0
54.13636363636363,85.63636363636364,0.21724137931034482,63,28.227272727272727,4.4820469195161925,0.15384615384615385,0.07692307692307693,5,8,21,57.666666666666664,26,Mexico,0,1.0
55.36363636363637,84.36363636363636,0.5029411764705882,171,29.045454545454547,4.314728626099574,0.76,0.64,6,10,18,23.333333333333332,25,Argentina,0,1.0
52.27272727272727,82.81818181818181,0.4425287356321839,77,30.5,3.6612514123946616,0.0,0.0,4,11,14,38.0,26,Iran,0,1.0
50.59090909090909,80.36363636363636,0.2608695652173913,54,28.727272727272727,3.4112114616897666,0.7307692307692307,0.15384615384615385,2,5,24,11.666666666666666,26,Switzerland,0,1.0
49.0,80.0909090909091,0.46,115,28.181818181818183,4.7772911594868095,0.6923076923076923,0.6153846153846154,3,8,18,37.0,26,Belgium,0,1.0
50.95454545454545,78.36363636363636,0.5118343195266272,173,27.363636363636363,4.381187646609672,0.6153846153846154,0.8461538461538461,4,10,17,16.666666666666668,26,Portugal,0,1.0
47.77272727272727,73.9090909090909,0.2326388888888889,67,28.5,3.851406669430448,0.038461538461538464,0.0,7,12,14,30.666666666666668,26,Jordan,0,1.0
46.09090909090909,70.72727272727273,0.3017241379310345,35,30.40909090909091,3.4456195919303645,0.3076923076923077,0.15384615384615385,2,5,24,61.333333333333336,26,Colombia,0,1.0
44.95454545454545,69.0909090909091,0.2923076923076923,76,28.772727272727273,3.5581137081567755,0.64,0.32,2,6,21,15.0,25,Austria,0,1.0
41.22727272727273,68.9090909090909,0.36257309941520466,62,27.681818181818183,3.9687633150746406,0.2,0.12,3,6,22,46.0,25,South Korea,1,0.9615384615384616
43.27272727272727,67.27272727272727,0.33204633204633205,86,27.09090909090909,5.299677356837876,0.6923076923076923,0.34615384615384615,2,6,22,21.0,26,Senegal,0,1.0
43.72727272727273,66.54545454545455,0.2421875,31,29.5,4.43739520332325,0.5,0.15384615384615385,2,6,22,36.333333333333336,26,Scotland,0,1.0
37.72727272727273,64.9090909090909,0.367816091954023,32,28.318181818181817,4.65358401190353,0.9615384615384616,0.9230769230769231,6,14,13,46.666666666666664,26,Germany,0,1.0
